Years,2008,2009,2010,2011
LU,,0.8,0.59,1.35
CZ,1.53,1.76,1.88,2.24
AT,1.12,1.21,1.07,1.03
HU,1.11,1.39,1.21,1.55
SK,1.07,1.03,0.88,0.74
NL,1.0,1.19,1.21,1.29
SI,0.99,0.49,0.73,1.22
FI,0.98,1.16,0.82,1.19
DE,0.87,1.07,1.1,1.04
SE,0.77,0.72,0.73,0.66
PT,0.47,0.65,0.48,0.4
FR,0.45,0.52,0.5,0.51
DK,0.44,0.58,0.41,0.47
LV,0.4,0.44,0.58,0.49
ES,0.38,0.36,0.27,0.28
BG,0.35,0.25,0.24,0.37
GB,0.33,0.34,0.36,0.32
IT,0.23,0.18,0.18,0.23
IE,0.16,0.04,0.13,0.13
NO,0.15,0.17,0.14,0.22
RO,0.13,0.12,0.11,0.36
PL,0.08,0.07,0.12,0.07
EE,0.07,0.0,0.0,0.0
LT,0.0,0.06,0.12,0.17
BE,0.0,0.64,0.77,0.89
